,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-0.597,0.214,0.233,0.263,-0.261,0.313,-0.392,0.212,0.557,0.749,0.914,0.842,-0.476,,0.34,
1995-01-01,0.249,0.735,-0.089,0.512,-0.356,-0.021,-0.161,0.715,0.231,-0.017,0.185,0.567,-0.236,,-0.572,
2000-01-01,0.824,0.024,0.037,-0.299,-0.258,0.037,-0.182,-0.272,-0.225,-0.319,0.249,0.082,0.321,,0.092,
2005-01-01,0.525,-0.973,-0.182,0.197,0.162,-0.329,0.058,0.006,0.26,-0.528,-0.269,0.103,0.422,,0.44,
2010-01-01,-0.146,,,-0.241,0.689,,0.673,-0.059,-0.56,-0.482,-0.455,-0.74,0.112,,-0.299,
2015-01-01,-0.855,,,-0.431,0.025,,0.004,-0.602,-0.264,0.596,-0.624,-0.854,-0.143,,,
2020-01-01,-1.81,,,0.563,0.355,,0.292,-0.468,0.043,0.696,-1.148,-1.319,-0.578,,,
2025-01-01,-1.016,,,1.06,0.307,,0.5,-0.763,-0.768,0.549,-1.174,-1.177,-0.105,,,
2030-01-01,-0.57,,,2.146,-0.695,,-0.082,-0.9,-0.918,0.478,-1.317,-0.997,-0.35,,,
2035-01-01,-0.647,,,1.716,-0.257,,0.077,-1.086,-0.316,-0.106,-0.96,-0.657,-1.067,,,
2040-01-01,-1.088,,,1.314,-1.045,,-0.808,-0.609,-0.695,0.092,-0.752,-0.271,-1.57,,,
2045-01-01,-2.055,,,1.169,-1.456,,-0.741,-0.336,-0.459,0.347,-0.745,-0.52,-2.202,,,
2050-01-01,-2.425,,,0.17,-1.315,,-0.59,0.037,-0.515,0.231,-0.38,-0.862,-2.733,,,
