,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1990-01-01,-0.896,-0.853,-0.581,-0.913,-0.485,-0.67,-0.336,-0.418,-0.287,-0.373,-0.505,-0.873,-0.662,,-0.235,
1995-01-01,-0.48,-0.559,-0.359,-0.529,-0.415,-0.526,-0.347,-0.088,-0.307,-0.329,-0.408,-0.436,-0.516,,-0.116,
2000-01-01,-0.077,-0.152,-0.119,-0.231,-0.137,-0.163,-0.164,-0.014,-0.039,-0.217,-0.122,-0.02,-0.176,,0.001,
2005-01-01,0.227,0.163,0.189,0.211,0.104,0.164,-0.026,0.097,0.1,-0.015,0.124,0.256,0.125,,0.076,
2010-01-01,0.534,0.461,0.379,0.567,0.358,0.382,0.288,0.133,0.102,0.298,0.347,0.524,0.487,,0.274,
2015-01-01,0.692,0.94,0.49,0.895,0.574,0.812,0.584,0.29,0.43,0.636,0.565,0.548,0.741,,,
2020-01-01,0.97,1.112,0.75,1.349,0.733,0.93,0.739,0.44,0.597,0.889,0.721,0.581,0.822,,,
2025-01-01,1.288,1.369,0.947,1.478,0.764,1.199,0.955,0.524,0.959,1.311,1.076,0.835,1.119,,,
2030-01-01,1.676,1.817,1.115,1.66,0.77,1.558,1.083,0.797,1.191,1.329,1.473,1.056,1.295,,,
2035-01-01,1.813,2.217,1.524,1.93,1.106,1.731,1.155,0.839,1.107,1.437,1.812,1.41,1.554,,,
2040-01-01,1.916,2.555,1.825,2.045,1.31,1.927,1.393,1.01,1.203,1.524,1.991,1.74,1.876,,,
2045-01-01,2.064,2.695,1.931,2.431,1.421,2.112,1.49,1.301,1.114,1.648,2.183,1.907,2.069,,,
2050-01-01,2.222,2.845,2.094,2.718,1.669,2.301,1.611,1.438,1.03,1.697,2.299,2.132,2.359,,,
