,CESM2,CESM2-WACCM,EC-Earth3-CC,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,MRI-ESM2-0,NorESM2-MM,TaiESM1,NSRDB,ERA5,DAYMET
1985-01-01,,,-12.26,-10.357,-10.347,-14.056,-8.995,-14.547,-12.312,-10.258,-10.493,-13.758,-8.065,,-15.469,
1990-01-01,,,-10.974,-13.387,-10.069,-14.056,-12.822,-8.547,-12.312,-11.274,-10.283,-12.966,-12.635,,-15.469,
1995-01-01,,,-12.113,-13.387,-10.151,-10.528,-12.822,-9.9,-12.74,-11.274,-8.731,-8.781,-12.635,,-8.682,
2000-01-01,,,-12.113,-11.76,-12.711,-9.741,-12.329,-13.851,-12.74,-11.161,-11.624,-11.111,-9.522,,-8.682,
2005-01-01,,,-8.43,-11.76,-12.711,-8.44,-12.329,-13.851,-8.19,-11.161,-11.624,-11.111,-11.369,,-7.63,
2010-01-01,,,-10.473,-6.833,-10.423,-9.449,-8.769,-8.07,-6.807,-10.854,-12.041,-9.554,-11.369,,-10.452,
2015-01-01,,,-10.473,-9.352,-10.423,-10.565,-8.769,-8.07,-11.736,-10.854,-12.041,-9.554,-11.241,,-10.452,
2020-01-01,-8.252,-12.28,-8.176,-9.352,-10.799,-10.565,-10.786,-8.095,-11.736,-13.111,-10.667,-10.127,-5.261,,,
2025-01-01,-8.252,-9.551,-9.941,-3.592,-12.891,-12.022,-10.786,-8.095,-9.56,-13.111,-10.608,-10.127,-9.758,,,
2030-01-01,-9.219,-9.551,-9.941,-7.74,-12.891,-12.022,-6.265,-6.178,-9.56,-11.022,-10.38,-6.577,-9.758,,,
2035-01-01,-10.199,-8.666,-4.461,-7.74,-6.235,-9.775,-7.309,-9.352,-13.141,-11.022,-13.279,-8.862,-4.614,,,
2040-01-01,-10.199,-8.666,-4.831,-3.461,-9.82,-10.245,-7.309,-9.352,-13.141,-9.85,-13.279,-8.862,-9.682,,,
2045-01-01,-7.639,-5.266,-4.831,-2.872,-10.254,-10.245,-9.129,-8.223,-7.51,-9.349,-8.807,-8.243,-9.682,,,
2050-01-01,-8.347,-8.237,-5.893,-2.872,-10.254,-8.493,-9.129,-8.223,-7.668,-9.066,-8.69,-8.22,-6.095,,,
2055-01-01,-8.347,-8.237,-5.893,-2.124,-9.823,-8.16,-5.77,-8.184,-9.199,-9.066,-9.314,-10.493,-6.095,,,
